Key,Administration,Party,Department,Name,LastName,ServiceStart,ServiceEnd,DeptScandalFlag,ScandalFlag,ScandalDesc,EduDesc,Bachelors,Masters,MD,Law,Doctorate,MilitaryService,MilitaryDatesServed,MilitaryBranch,Gender,ForeignBorn,Minority,DiedOffice,SenateVotesFor,SenateVotesAgainst,NotesDiscrepancies
11,Washington,"None, Federalist",Secretary of War,James McHenry,McHenry,2/6/1796,3/3/1797,,,,Newark Academy,,,1,,,maj.,Revolutionary War,Army,1,1,0,0,nr,nr,
12,Washington,"None, Federalist",Attorney General,Edmund Randolph,Randolph,3/4/1793,1/27/1794,,,,College of William and Mary (grad.),1,,,1,,ADC,Revolutionary War,Army,1,0,0,0,nr,nr,
13,Washington,"None, Federalist",Attorney General,William Bradford,Bradford,1/29/1794,12/10/1795,,,,Princeton University (grad.),1,,,1,,col.,Revolutionary War,Army,1,0,0,1,nr,nr,
14,Washington,"None, Federalist",Attorney General,Charles Lee,Lee,12/10/1795,3/3/1797,,,,Princeton University (AB),1,,,1,,,,,1,0,0,0,nr,nr,
15,Washington,"None, Federalist",Postmaster General,Samuel Osgood,Osgood,9/26/1789,9/12/1791,,,,Harvard University (grad.),1,,,,,col.,Revolutionary War,Army,1,0,0,0,nr,nr,
16,Washington,"None, Federalist",Postmaster General,Timothy Pickering,Pickering,8/19/1791,2/25/1795,,,,Harvard University (grad.),1,,,1,,quartermaster gen.,Revolutionary War,Army,1,0,0,0,nr,nr,
17,Washington,"None, Federalist",Postmaster General,Joseph Habersham,Habersham,2/25/1795,3/3/1797,,,,Princeton University (grad.),1,,,1,,col.,Revolutionary War,Army,1,0,0,0,nr,nr,
18,John Adams,Federalist,President,John Adams,Adams,3/4/1797,3/3/1801,,,,Harvard University (grad.),1,,,1,,,,,1,0,0,0,eo,eo,
19,John Adams,Federalist,Vice President,Thomas Jefferson,Jefferson,3/4/1797,3/3/1801,,,,College of William and Mary (grad.),1,,,1,,,,,1,0,0,0,eo,eo,
20,John Adams,Federalist,Secretary of State,Timothy Pickering,Pickering,3/4/1797,5/12/1800,,,,Harvard University (grad.),1,,,1,,quartermaster gen.,Revolutionary War,Army,1,0,0,0,pa,pa,
21,John Adams,Federalist,Secretary of State,John Marshall,Marshall,6/6/1800,2/4/1801,,,,College of William and Mary,1,,,1,,,,,1,0,0,0,nr,nr,
22,John Adams,Federalist,Secretary of the Treasury,Oliver Wolcott Jr.,Wolcott,3/4/1797,1/1/1801,,,,Yale University (BA); Litchfield Law School,1,,,1,,ADC,Revolutionary War,Army,1,0,0,0,pa,pa,
23,John Adams,Federalist,Secretary of the Treasury,Samuel Dexter,Dexter,1/1/1801,3/3/1801,,,,Harvard University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
24,John Adams,Federalist,Secretary of War,James McHenry,McHenry,3/4/1797,6/1/1800,,,,Newark Academy,,,1,,,maj.,Revolutionary War,Army,1,1,0,0,pa,pa,
25,John Adams,Federalist,Secretary of War,Samuel Dexter,Dexter,6/12/1800,1/29/1801,,,,Harvard University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
26,John Adams,Federalist,Secretary of War,Roger Griswold,Griswold,2/3/1801,3/3/1801,,,,Yale University (JSD); Harvard University (JSD),,,,,2,,,,1,0,0,0,25,5,Missing from education section of Sobel et al.
27,John Adams,Federalist,Attorney General,Charles Lee,Lee,3/4/1797,3/3/1801,,,,Princeton University (AB),1,,,1,,,,,1,0,0,0,pa,pa,
28,John Adams,Federalist,Secretary of the Navy,Benjamin Stoddert,Stoddert,6/18/1798,3/3/1801,,,,University of Pennsylvania,1,,,,,maj.,Revolutionary War,Army,1,0,0,0,nr,nr,No college is listed in Sobel et al.
29,John Adams,"None, Federalist",Postmaster General,Joseph Habersham,Habersham,3/4/1797,3/3/1801,,,,Princeton University (grad.),1,,,1,,col.,Revolutionary War,Army,1,0,0,0,pa,pa,
30,Jefferson,Democratic-Republican,President,Thomas Jefferson,Jefferson,3/4/1801,3/3/1809,,,,College of William and Mary (grad.),1,,,1,,,,,1,0,0,0,eo,eo,
31,Jefferson,Democratic-Republican,Vice President,Aaron Burr,Burr,3/4/1801,3/3/1805,,1,Burr conspiracy,Princeton University (grad.),1,,,1,,lt. col.,Revolutionary War,Army,1,0,0,0,eo,eo,
32,Jefferson,Democratic-Republican,Vice President,George Clinton,Clinton,3/4/1805,3/3/1809,,,,read law,,,,1,,brig. gen.,Revolutionary War,Militia/National Guard,1,0,0,0,eo,eo,
33,Jefferson,Democratic-Republican,Secretary of State,James Madison,Madison,5/2/1801,3/3/1809,,,,Princeton University (BA),2,,,1,,,,,1,0,0,0,nr,nr,
34,Jefferson,Democratic-Republican,Secretary of the Treasury,Samuel Dexter,Dexter,3/4/1801,5/6/1801,,,,Harvard University (grad.),1,,,1,,,,,1,0,0,0,pa,pa,
35,Jefferson,Democratic-Republican,Secretary of the Treasury,Albert Gallatin,Gallatin,5/14/1801,3/3/1809,,,,University of Geneva (grad.),1,,,,,,,,1,1,0,0,nr,nr,
36,Jefferson,Democratic-Republican,Secretary of War,Henry Dearborn,Dearborn,3/5/1801,2/17/1809,,,,studied medicine independently,,,1,,,maj.; maj. gen.; maj. gen.,Revolutionary War; Revolutionary War; War of 1812,Army; Militia/National Guard; Army,1,0,0,0,nr,nr,
37,Jefferson,Democratic-Republican,Attorney General,Levi Lincoln,Lincoln,3/5/1801,12/31/1804,,,,Harvard University (BA),1,,,1,,,,,1,0,0,0,nr,nr,
38,Jefferson,Democratic-Republican,Attorney General,Robert Smith,Smith,3/2/1805,8/7/1805,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
39,Jefferson,Democratic-Republican,Attorney General,John Breckinridge,Breckinridge,8/7/1805,12/14/1806,,,,Washington and Lee University; College of William and Mary,,,,1,,,,,1,0,0,1,nr,nr,
40,Jefferson,Democratic-Republican,Attorney General,Caesar A. Rodney,Rodney,1/20/1807,3/3/1809,,,,University of Pennsylvania (grad.),1,,,1,,capt.,1813-1814,Militia/National Guard,1,0,0,0,nr,nr,
41,Jefferson,Democratic-Republican,Secretary of the Navy,Benjamin Stoddert,Stoddert,3/4/1801,4/1/1801,,,,University of Pennsylvania,1,,,,,maj.,Revolutionary War,Army,1,0,0,0,pa,pa,No college is listed in Sobel et al.
42,Jefferson,Democratic-Republican,Secretary of the Navy,Robert Smith,Smith,7/27/1801,3/8/1809,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
43,Jefferson,"None, Federalist",Postmaster General,Joseph Habersham,Habersham,3/3/1801,11/28/1801,,,,Princeton University (grad.),1,,,1,,col.,Revolutionary War,Army,1,0,0,0,pa,pa,
44,Jefferson,"None, Federalist",Postmaster General,Gideon Granger,Granger,11/28/1801,3/3/1809,,,,Yale University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
45,Madison,Democratic-Republican,President,James Madison,Madison,3/4/1809,3/3/1817,,,,Princeton University (BA),2,,,1,,,,,1,0,0,0,eo,eo,
46,Madison,Democratic-Republican,Vice President,George Clinton,Clinton,3/4/1809,3/3/1813,,,,read law,,,,1,,brig. gen.,Revolutionary War,Militia/National Guard,1,0,0,0,eo,eo,
47,Madison,Democratic-Republican,Vice President,Elbridge Gerry,Gerry,3/4/1813,3/3/1817,,,,Harvard University (grad.),1,1,,,,,,,1,0,0,0,eo,eo,
48,Madison,Democratic-Republican,Secretary of State,Robert Smith,Smith,3/4/1809,4/1/1811,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
49,Madison,Democratic-Republican,Secretary of State,James Monroe,Monroe,4/1/1811,3/3/1817,,,,College of William and Mary,,,,1,,lt. col.,Revolutionary War,Army,1,0,0,0,30,0,
50,Madison,Democratic-Republican,Secretary of the Treasury,Albert Gallatin,Gallatin,3/4/1809,2/9/1814,,,,University of Geneva (grad.),1,,,,,,,,1,1,0,0,pa,pa,
51,Madison,Democratic-Republican,Secretary of the Treasury,George W. Campbell,Campbell,2/9/1814,10/6/1814,,,,Princeton University (BA),1,,,1,,,,,1,1,0,0,nr,nr,
52,Madison,Democratic-Republican,Secretary of the Treasury,Alexander J. Dallas,Dallas,10/14/1814,10/22/1816,,,,read law,,,,1,,,,,1,0,0,0,nr,nr,Incorrectly dated as 1814 in Grossman
53,Madison,Democratic-Republican,Secretary of the Treasury,William H. Crawford,Crawford,10/22/1816,3/3/1817,,,,read law,,,,1,,,,,1,0,0,0,nr,nr,Incorrectly dated as 1814 in Grossman
54,Madison,Democratic-Republican,Secretary of War,William Eustis,Eustis,4/8/1809,12/31/1812,,,,Harvard University (grad.); studied medicine independently,1,,1,,,physician; surgeon,Revolutionary War; Revolutionary War,Army; Militia/National Guard,1,0,0,0,nr,nr,
55,Madison,Democratic-Republican,Secretary of War,John Armstrong,Armstrong,2/5/1813,8/30/1814,,,,College of New Jersey,,,,,,brig. gen.,War of 1812,Army,1,0,0,0,18,15,
56,Madison,Democratic-Republican,Secretary of War,James Monroe,Monroe,9/27/1814,3/2/1815,,,,College of William and Mary,,,,1,,lt. col.,Revolutionary War,Army,1,0,0,0,30,0,Secretary of War service not listed in Grossman
57,Madison,Democratic-Republican,Secretary of War,William H. Crawford,Crawford,8/1/1815,10/22/1816,,,,read law,,,,1,,,,,1,0,0,0,nr,nr,
58,Madison,Democratic-Republican,Attorney General,Caesar A. Rodney,Rodney,3/4/1809,12/5/1811,,,,University of Pennsylvania (grad.),1,,,1,,capt.,1813-1814,Militia/National Guard,1,0,0,0,pa,pa,
59,Madison,Democratic-Republican,Attorney General,William Pinckney,Pinckney,1/6/1812,2/10/1814,,,,read law,1,,,1,,,,,1,0,0,0,nr,nr,Sometimes spelled William Pinkney
60,Madison,Democratic-Republican,Attorney General,Richard Rush,Rush,2/11/1814,3/3/1817,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,23,6,
61,Madison,Democratic-Republican,Secretary of the Navy,Paul Hamilton,Hamilton,5/15/1809,12/31/1812,,,,no college,,,,,,n.a.,Revolutionary War,Militia/National Guard,1,0,0,0,nr,nr,
62,Madison,Democratic-Republican,Secretary of the Navy,William Jones,Jones,1/19/1813,12/2/1814,,,,no college,,,,,,pvt.,Revolutionary War,Army,1,0,0,0,nr,nr,
63,Madison,Democratic-Republican,Secretary of the Navy,B. W. Crowninshield,Crowninshield,1/16/1815,3/3/1817,,,,no college,,,,,,,,,1,0,0,0,18,9,
64,Madison,"None, Federalist",Postmaster General,Gideon Granger,Granger,3/4/1809,3/14/1814,,,,Yale University (grad.),1,,,1,,,,,1,0,0,0,pa,pa,
65,Madison,"None, Federalist",Postmaster General,"Return J. Meigs, Jr.",Meigs,4/11/1814,3/3/1817,,,,Yale University (grad.),1,,,1,,bvt. col.,Revolutionary War,Army,1,0,0,0,nr,nr,
66,Monroe,Democratic-Republican,President,James Monroe,Monroe,3/4/1817,3/3/1825,,,,College of William and Mary,,,,1,,lt. col.,Revolutionary War,Army,1,0,0,0,30,0,
67,Monroe,Democratic-Republican,Vice President,Daniel D. Tompkins,Tompkins,3/4/1817,3/3/1825,,,,Columbia University (grad.),1,,,1,,,,,1,0,0,0,eo,eo,
68,Monroe,Democratic-Republican,Secretary of State,John Quincy Adams,Adams,9/22/1817,3/3/1825,,,,"Harvard University (BA, MA)",1,1,,1,,,,,1,0,0,0,29,1,Only the BA is listed in Sobel et al.
69,Monroe,Democratic-Republican,Secretary of the Treasury,William H. Crawford,Crawford,3/5/1817,3/3/1825,,,,read law,,,,1,,,,,1,0,0,0,pa,pa,
70,Monroe,Democratic-Republican,Secretary of War,John C. Calhoun,Calhoun,10/8/1817,3/3/1825,,,,Yale University (grad.); Litchfield Law School (law deg.),1,,,1,,,,,1,0,0,0,nr,nr,"Tapping Reeve Law School in Litchfield, Connecticut not listed in Sobel et al."
71,Monroe,Democratic-Republican,Attorney General,Richard Rush,Rush,3/4/1817,10/30/1817,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,pa,pa,
72,Monroe,Democratic-Republican,Attorney General,William Wirt,Wirt,11/15/1817,3/3/1825,,,,read law,,,,1,,,,,1,0,0,0,nr,nr,
73,Monroe,Democratic-Republican,Secretary of the Navy,B. W. Crowninshield,Crowninshield,3/4/1817,10/1/1818,,,,no college,,,,,,,,,1,0,0,0,pa,pa,
74,Monroe,Democratic-Republican,Secretary of the Navy,Smith Thompson,Thompson,1/1/1819,9/1/1823,,,,Princeton University (BA),1,,,1,,,,,1,0,0,0,nr,nr,
75,Monroe,Democratic-Republican,Secretary of the Navy,Samuel L. Southard,Southard,9/16/1823,3/3/1825,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
76,Monroe,"None, Federalist",Postmaster General,"Return J. Meigs, Jr.",Meigs,3/4/1817,6/26/1823,,,,Yale University (grad.),1,,,1,,bvt. col.,Revolutionary War,Army,1,0,0,0,pa,pa,
77,Monroe,Democratic-Republican,Postmaster General,John McLean,McLean,7/1/1823,3/3/1825,,,,Harvard University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
78,John Quincy Adams,Democratic-Republican,President,John Quincy Adams,Adams,3/4/1825,3/3/1829,,,,"Harvard University (BA, MA)",1,1,,1,,,,,1,0,0,0,eo,eo,Only the BA is listed in Sobel et al.
79,John Quincy Adams,Democratic-Republican,Vice President,John C. Calhoun,Calhoun,3/4/1825,3/3/1829,,,,Yale University (grad.); Litchfield Law School (law deg.),1,,,1,,,,,1,0,0,0,eo,eo,
80,John Quincy Adams,Democratic-Republican,Secretary of State,Henry Clay,Clay,3/7/1825,3/3/1829,,,,College of William and Mary,,,,1,,,,,1,0,0,0,27,14,
81,John Quincy Adams,Democratic-Republican,Secretary of the Treasury,Samuel L. Southard,Southard,3/4/1825,8/1/1825,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,acting,acting,Served briefly as ad interim Secretary of the Treasury
82,John Quincy Adams,Democratic-Republican,Secretary of the Treasury,Richard Rush,Rush,8/1/1825,3/3/1829,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,
83,John Quincy Adams,Democratic-Republican,Secretary of War,James Barbour,Barbour,3/4/1825,5/26/1828,,,,read law,,,,1,,,,,1,0,0,0,nr,nr,
84,John Quincy Adams,Democratic-Republican,Secretary of War,Peter B. Porter,Porter,6/21/1828,3/3/1829,,,,Yale University (grad.),1,,,1,,,,,1,0,0,0,22,11,
85,John Quincy Adams,Democratic-Republican,Attorney General,William Wirt,Wirt,3/4/1825,3/3/1829,,,,read law,,,,1,,,,,1,0,0,0,pa,pa,
86,John Quincy Adams,Democratic-Republican,Secretary of the Navy,Samuel L. Southard,Southard,3/4/1825,3/3/1829,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,pa,pa,
87,John Quincy Adams,Democratic-Republican,Postmaster General,John McLean,McLean,3/4/1825,3/3/1829,,,,Harvard University (grad.),1,,,1,,,,,1,0,0,0,pa,pa,
